carport_type,carport_type_name,panel_length_mm,panel_width_mm,panel_power_w,area_length_mm,number_row,delivery_area,delivery_artic_cost_gbp,total_power_kw,total_weight_kg,total_cost_gbp
3,DuoMono,1750,900,600,15000,6,Falkirk,1290,54,7013.85805,20962.35512499999
3,DuoMono,2500,900,900,20000,6,Exeter,594,108,9662.44545,27191.82362499999
3,DuoMono,2000,1134,400,60000,6,Blackburn,693,117.6,22346.85428,62679.2857
4,GullWing,2500,1134,250,10000,6,Southend on Sea,690,12,5224.491439999999,15056.2586
4,GullWing,2500,750,800,15000,6,Magor - Newry,1395,86.4,7036.283079999998,20898.737699999994
3,DuoMono,2500,900,200,29000,6,Portsmouth,582,36,13923.0266,38846.356500000016
4,GullWing,1500,1250,900,150000,6,Thurso,1800,610.2,39215.45342,115460.46355
1,SingleMonoIncline,1500,750,900,75000,3,Chelmsford,670,243,13270.88858,39390.81145000001
1,SingleMonoIncline,3500,1000,700,15000,3,Bournemouth,760,29.4,4700.06522,14115.033049999995
3,DuoMono,2500,750,500,100000,6,Swansea,571,360,44380.885149999995,123629.402875
1,SingleMonoIncline,1500,1134,400,9000,3,London SW,761,8.4,2249.1955,7368.97875
1,SingleMonoIncline,2333,750,900,50000,3,Northampton,582,162,10313.63406,30183.515150000003
2,SingleMonoDecline,1500,2000,200,9000,3,Brighton,765,2.4,2177.43378,7102.37445
3,DuoMono,1500,2500,1200,50000,6,Kingston Upon Thames,754,136.8,15208.33515,41969.90787499999
3,DuoMono,1500,1134,250,50000,6,Southall,741,61.5,17016.970970000002,47816.09742499999
3,DuoMono,2333,1000,1000,75000,6,Taunton,456,414,30081.969410000005,83166.15352500005
1,SingleMonoIncline,4000,2500,400,100000,3,Dundee,1394,46.8,21652.347,62133.2975
1,SingleMonoIncline,2333,1000,900,15000,3,Canterbury,769,37.8,4070.7527000000005,12550.751749999998
1,SingleMonoIncline,2500,1250,1200,150000,3,Swindon,460,406.8,28822.344160000004,82068.2104
3,DuoMono,2000,1250,1200,100000,6,Bath,499,540,35705.87965,98490.88912499999
